CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|CST|MAS-IPSP|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
1000017|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1204|Arabate|52|Escuela Arabate|1|138|16|66|82|0|16|98|82|98
1000027|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1205|Chaunaca|53|Escuela Seccional De Chaunaca|1|220|50|117|167|0|11|178|167|178
1000037|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1205|Chaunaca|53|Escuela Seccional De Chaunaca|2|90|9|52|61|0|4|65|61|65
1000047|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1206|Chuqui Chuqui|54|Unidad Educativa Chuqui Chuqui|1|220|48|116|164|1|13|178|164|178
1000057|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1206|Chuqui Chuqui|54|Unidad Educativa Chuqui Chuqui|2|220|76|94|170|2|10|182|170|182
1000067|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1206|Chuqui Chuqui|54|Unidad Educativa Chuqui Chuqui|3|125|28|70|98|1|2|101|98|101
1000077|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1207|Surima|55|Escuela Fray Gabriel Maria Landini|1|220|54|100|154|4|13|171|154|171
1000087|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1207|Surima|55|Escuela Fray Gabriel Maria Landini|2|220|52|102|154|3|13|170|154|170
1000097|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1207|Surima|55|Escuela Fray Gabriel Maria Landini|3|220|49|104|153|2|19|174|153|174
1000107|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1207|Surima|55|Escuela Fray Gabriel Maria Landini|4|92|36|40|76|0|4|80|76|80
1000117|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1208|Imilla Huañusca|56|Escuela Fray Gabriel Mariscal|1|220|61|97|158|1|12|171|158|171
1000127|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1208|Imilla Huañusca|56|Escuela Fray Gabriel Mariscal|2|92|28|31|59|1|6|66|59|66
1000137|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1218|Punilla|58|Escuela Punilla|1|220|90|69|159|5|9|173|159|173
1000147|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1218|Punilla|58|Escuela Punilla|2|53|16|19|35|1|6|42|35|42
1000157|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1219|Mojotoro|59|Unidad Educativa La Palma|1|220|64|91|155|3|6|164|155|164
1000167|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1219|Mojotoro|59|Unidad Educativa La Palma|2|220|73|93|166|3|9|178|166|178
1000177|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1219|Mojotoro|59|Unidad Educativa La Palma|3|220|69|96|165|6|10|181|165|181
1000187|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1219|Mojotoro|59|Unidad Educativa La Palma|4|109|40|46|86|2|2|90|86|90
1000197|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1220|Ckacha Ckacha|60|Escuela José Sampa|1|220|90|76|166|1|4|171|166|171
1000207|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1220|Ckacha Ckacha|60|Escuela José Sampa|2|58|19|31|50|0|2|52|50|52
1000217|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1221|El Chaco|61|Unidad Educativa Luis Espinal|1|220|96|82|178|1|9|188|178|188
1000227|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1221|El Chaco|61|Unidad Educativa Luis Espinal|2|220|87|80|167|3|11|181|167|181
1000237|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1221|El Chaco|61|Unidad Educativa Luis Espinal|3|201|80|75|155|1|8|164|155|164
1000247|GOBERNADOR(A)|32|Bolivia|1|Chuquisaca|1|Oropeza|1|Sucre|1223|Potolo|62|U. Edu. Gualberto Villarroel|1|220|51|107|158|1|22|181|158|181
