CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|J.A. LLALLA.L.P.|MAS-IPSP|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
2000017|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|1|220|106|72|178|1|6|185|178|185
2000027|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|2|220|108|71|179|1|7|187|179|187
2000037|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|3|220|94|70|164|2|11|177|164|177
2000047|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|4|220|94|64|158|0|27|185|158|185
2000057|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|5|220|104|70|174|2|10|186|174|186
2000067|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|6|220|90|85|175|1|10|186|175|186
2000077|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|7|219|83|58|141|1|40|182|141|182
2000087|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|8|220|111|48|159|2|16|177|159|177
2000097|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|9|219|117|61|178|0|10|188|178|188
2000107|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|10|219|101|52|153|0|22|175|153|175
2000117|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|11|220|111|69|180|4|8|192|180|192
2000127|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|12|220|85|91|176|2|12|190|176|190
2000137|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|13|219|119|53|172|2|8|182|172|182
2000147|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|14|220|99|61|160|0|18|178|160|178
2000157|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|15|220|95|74|169|1|19|189|169|189
2000167|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|16|220|110|55|165|0|12|177|165|177
2000177|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|17|220|110|74|184|1|9|194|184|194
2000187|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|18|220|113|52|165|2|19|186|165|186
2000197|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|19|217|93|58|151|3|7|161|151|161
2000207|GOBERNADOR(A)|32|Bolivia|2|La Paz|1|Murillo|1|Nuestra Señora de La Paz|729|Nuestra Señora de La Paz|101|Esc. Ind. Pedro Domingo Murillo|20|219|77|48|125|1|45|171|125|171
