CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|UNIDOS POR TARIJA|MAS-IPSP|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
6000017|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|1|220|73|103|176|1|6|183|176|183
6000027|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|2|220|96|79|175|1|9|185|175|185
6000037|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|3|220|72|109|181|1|10|192|181|192
6000047|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|4|220|95|81|176|1|8|185|176|185
6000057|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|5|220|94|80|174|1|5|180|174|180
6000067|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|6|219|83|95|178|2|5|185|178|185
6000077|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|7|220|84|98|182|1|5|188|182|188
6000087|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|8|220|81|95|176|2|8|186|176|186
6000097|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|9|220|85|96|181|1|6|188|181|188
6000107|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|10|220|104|78|182|0|2|184|182|184
6000117|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1860|San Mateo|1|U.E. San Mateo|11|64|26|20|46|0|3|49|46|49
6000127|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1861|Monte Cercado|1|U.E. Monte Cercado|1|197|126|27|153|1|12|166|153|166
6000137|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1862|Sella Quebrada|1|U.E. Sella Quebrada|1|220|106|50|156|2|9|167|156|167
6000147|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1862|Sella Quebrada|1|U.E. Sella Quebrada|2|70|30|20|50|0|5|55|50|55
6000157|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1864|Yesera Norte|1|U.E. Yesera Norte|1|220|87|82|169|0|17|186|169|186
6000167|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1864|Yesera Norte|1|U.E. Yesera Norte|2|123|59|34|93|1|6|100|93|100
6000177|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1865|Yesera Centro|1|U.E. Yesera Centro|1|220|117|56|173|1|11|185|173|185
6000187|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1865|Yesera Centro|1|U.E. Yesera Centro|2|81|38|35|73|1|4|78|73|78
6000197|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1866|Yesera Sud|1|U.E. Yesera Sud|1|220|113|60|173|1|9|183|173|183
6000207|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1866|Yesera Sud|1|U.E. Yesera Sud|2|118|64|14|78|5|6|89|78|89
6000217|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1868|Junacas Sud|1|U.E. Junacas Sud|1|220|85|67|152|0|20|172|152|172
6000227|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1868|Junacas Sud|1|U.E. Junacas Sud|2|84|32|35|67|0|3|70|67|70
6000237|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1869|Carlazo Centro|1|U.E. Carlazo Centro|1|191|78|68|146|0|4|150|146|150
6000247|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1870|Papachacra|1|U.E. Papachacra|1|218|86|73|159|6|11|176|159|176
6000257|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1871|San Agustin Sud|1|U.E. San Agustin Sud|1|192|88|59|147|0|9|156|147|156
6000267|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1873|Santa Ana La Nueva|1|U.E. Santa Ana La Nueva|1|220|123|64|187|1|4|192|187|192
6000277|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1873|Santa Ana La Nueva|1|U.E. Santa Ana La Nueva|2|219|100|69|169|2|3|174|169|174
6000287|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1873|Santa Ana La Nueva|1|U.E. Santa Ana La Nueva|3|173|86|51|137|1|6|144|137|144
6000297|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1874|Gamoneda|1|U.E. Gamoneda|1|218|98|87|185|1|13|199|185|199
6000307|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1875|La Pintada|1|U.E. La Pintada|1|220|77|106|183|1|5|189|183|189
6000317|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1875|La Pintada|1|U.E. La Pintada|2|220|116|76|192|2|3|197|192|197
6000327|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1875|La Pintada|1|U.E. La Pintada|3|220|88|94|182|1|4|187|182|187
6000337|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1875|La Pintada|1|U.E. La Pintada|4|220|101|85|186|1|8|195|186|195
6000347|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1875|La Pintada|1|U.E. La Pintada|5|217|114|75|189|5|6|200|189|200
6000357|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1876|Tolomosa Grande|1|U.E. Oscar Zamora|1|219|65|87|152|1|14|167|152|167
6000367|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1876|Tolomosa Grande|1|U.E. Oscar Zamora|2|219|71|73|144|3|6|153|144|153
6000377|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1876|Tolomosa Grande|1|U.E. Oscar Zamora|3|220|48|91|139|1|7|147|139|147
6000387|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1876|Tolomosa Grande|1|U.E. Oscar Zamora|4|228|64|88|152|1|13|166|152|166
6000397|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1877|Tolomosita Centro|1|U.E. Tolomosita|1|218|64|92|156|1|16|173|156|173
6000407|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1877|Tolomosita Centro|1|U.E. Tolomosita|2|159|53|57|110|4|7|121|110|121
6000417|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1878|San Jacinto Sud|1|U.E. San Jacinto Sud|1|218|99|75|174|4|7|185|174|185
6000427|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1878|San Jacinto Sud|1|U.E. San Jacinto Sud|2|220|74|90|164|3|10|177|164|177
6000437|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1878|San Jacinto Sud|1|U.E. San Jacinto Sud|3|39|16|16|32|0|1|33|32|33
6000447|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1880|Pampa Redonda Centro|1|U.E. Luis De Fuentes|1|220|53|48|101|1|1|103|101|103
6000457|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1880|Pampa Redonda Centro|1|U.E. Luis De Fuentes|2|220|62|69|131|4|1|136|131|136
6000467|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1880|Pampa Redonda Centro|1|U.E. Luis De Fuentes|3|78|29|16|45|0|3|48|45|48
6000477|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|1|220|57|113|170|2|4|176|170|176
6000487|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|2|220|56|108|164|1|10|175|164|175
6000497|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|3|220|67|93|160|2|10|172|160|172
6000507|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|4|220|54|99|153|1|7|161|153|161
6000517|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|5|219|70|98|168|3|7|178|168|178
6000527|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|6|220|48|104|152|4|7|163|152|163
6000537|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|7|220|67|94|161|1|10|172|161|172
6000547|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|8|218|63|101|164|1|8|173|164|173
6000557|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|9|220|51|114|165|2|8|175|165|175
6000567|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1882|Guerra Huayco|1|U.E. San Lazaro de Guerra Huayco|10|33|5|20|25|1|1|27|25|27
6000577|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1883|San Andrés|1|U.E. San Andres|1|220|100|78|178|1|3|182|178|182
6000587|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1883|San Andrés|1|U.E. San Andres|2|220|71|90|161|0|6|167|161|167
6000597|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1883|San Andrés|1|U.E. San Andres|3|220|80|100|180|1|6|187|180|187
6000607|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1883|San Andrés|1|U.E. San Andres|4|220|79|96|175|0|3|178|175|178
6000617|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1883|San Andrés|1|U.E. San Andres|5|220|74|94|168|1|9|178|168|178
6000627|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1883|San Andrés|1|U.E. San Andres|6|219|85|85|170|0|6|176|170|176
6000637|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1883|San Andrés|1|U.E. San Andres|7|220|69|98|167|2|10|179|167|179
